CampaignChannel,CampaignType,AdSpend,ClickThroughRate,EmailOpens,EmailClicks,PreviousPurchases,WebsiteVisits,Conversion
Social Media,Awareness,6497.870068417766,0.043918510735383,6,9,4,0,1
Email,Retention,3898.6686056807257,0.1557250710553343,2,7,2,42,1
PPC,Awareness,1546.4295957990923,0.2774903687332632,11,2,8,2,1
PPC,Conversion,539.5259357793692,0.1376112536017239,2,2,0,47,1
PPC,Conversion,1678.0435726570656,0.2528511065638809,6,6,8,0,1
Social Media,Awareness,9579.388246784005,0.1537946791446816,5,8,0,6,1
Referral,Awareness,7302.8998515526,0.0409753864012685,14,3,6,42,1
Social Media,Conversion,5324.283667249509,0.0528779285572571,9,3,0,48,1
Email,Retention,9421.250950540458,0.0235359683143721,4,8,5,13,1
Social Media,Awareness,6229.193333047879,0.0666412747669137,8,4,8,22,1
PPC,Retention,7283.887363978606,0.2691480889624259,16,5,6,47,1
SEO,Awareness,2898.2530032081336,0.1985574333235444,18,6,5,16,1
Email,Conversion,5930.920251533039,0.2242685111160442,16,5,4,13,1
SEO,Awareness,1520.4247185486186,0.190281822934065,8,1,2,8,1
Email,Awareness,4104.383137457977,0.1220963947201208,16,8,1,20,1
Email,Awareness,429.07921736744015,0.0728897285108404,0,1,1,44,0
PPC,Conversion,2244.6180670685367,0.2784282293628509,7,8,8,1,1
Social Media,Conversion,841.1994312844795,0.1593006366518262,18,5,2,31,1
PPC,Conversion,3939.010313121591,0.1495189655503024,8,4,6,7,1
PPC,Consideration,8446.048129921053,0.2988701856921282,7,7,3,35,1
PPC,Consideration,3841.5476528160257,0.1213396966326582,5,1,6,25,1
SEO,Consideration,8333.232297346969,0.2576963413187493,14,0,5,36,1
Email,Consideration,6599.333294530985,0.2600797774918882,14,6,9,14,1
Referral,Conversion,5144.341521645195,0.0774743610037607,5,5,3,33,1
Social Media,Awareness,2445.2277632871724,0.037503510781547,14,3,2,20,1
PPC,Conversion,9229.345319157108,0.2929298335576006,17,3,3,22,1
Email,Consideration,636.5880075361293,0.1335100905993144,5,5,1,8,0
Social Media,Retention,6920.238875218272,0.0106438933829566,17,6,1,39,1
Referral,Retention,6250.274938812751,0.1547151718103979,17,1,3,25,1
Referral,Conversion,4466.311070339615,0.1895971054867606,18,6,2,42,1
PPC,Awareness,2479.1774573967928,0.2350655917599299,19,9,4,21,1
Referral,Consideration,4363.889774768142,0.2834532142848552,12,6,0,12,1
Referral,Awareness,8740.449982978864,0.2753994823941842,10,5,6,24,1
Social Media,Awareness,8383.984491524046,0.2826393878159118,14,2,3,6,1
Social Media,Awareness,9419.674374772589,0.0193162929952471,5,7,5,26,1
PPC,Consideration,3147.1527455899554,0.2164144988108356,10,0,1,14,1
Email,Conversion,3932.3311678518417,0.0754988092136491,3,7,3,11,1
PPC,Consideration,285.3889113326469,0.0643902792896396,14,6,4,44,1
SEO,Consideration,9435.204947728082,0.2420923848937826,15,1,5,32,1
Referral,Conversion,3360.961908990961,0.1309676098601351,13,0,0,20,1
Email,Conversion,4101.221833176633,0.2758140219768774,4,7,3,24,1
Social Media,Conversion,9087.265653329208,0.0223061763307549,14,3,1,39,1
SEO,Retention,5313.32445865145,0.2426324405512773,9,9,9,46,1
SEO,Retention,5705.127963379232,0.0496819792719527,5,9,0,21,0
Referral,Conversion,1844.7050976940768,0.0612073884538454,15,8,8,13,1
Social Media,Awareness,5036.734206104679,0.1484319975021047,15,3,0,7,1
Email,Retention,9190.265148996865,0.1247210828531118,18,7,1,23,1
Social Media,Consideration,5631.309072268467,0.1509899687773146,2,7,8,2,1
Referral,Consideration,2625.652009933605,0.282607691389006,19,0,7,11,1
SEO,Retention,408.69055493415215,0.2006427913134362,17,4,9,46,1
Referral,Consideration,3429.387557195273,0.0941897207341801,18,3,9,21,1
PPC,Conversion,5768.650049238134,0.060143526572175,1,3,9,15,1
SEO,Consideration,521.8715548712182,0.1318134197879707,8,8,3,6,1
Referral,Retention,6136.946515182446,0.1409758979076439,0,2,1,17,1
Email,Awareness,5281.796888469316,0.1843753788708597,3,7,7,44,1
Email,Consideration,7856.011144749052,0.0871407840265326,3,8,2,22,1
Email,Consideration,385.99290549242215,0.2325776816580768,5,7,9,25,1
PPC,Awareness,7830.388713705501,0.0385534711890206,5,3,0,37,1
Social Media,Retention,5256.682753005258,0.1725314754441897,18,1,1,1,1
Email,Awareness,3768.240394519144,0.1908241794407922,7,9,3,1,1
PPC,Consideration,9657.291465952358,0.0699811585088921,7,6,0,21,1
Email,Retention,1685.183517636925,0.2495432916448901,19,2,5,37,1
PPC,Conversion,5459.118679001954,0.1884753163102265,12,5,3,41,1
Email,Retention,3277.7165885655363,0.1972594422479121,8,2,5,27,1
Social Media,Retention,5322.115150073824,0.1543456166713971,18,3,4,16,1
Referral,Conversion,5567.52698054608,0.2737823229811381,6,1,3,47,1
Email,Retention,985.5376594059732,0.2112389986314111,19,4,6,17,1
Referral,Consideration,6645.237954491662,0.1207323138197711,7,9,6,1,1
Email,Consideration,6381.366809598217,0.079195707457385,10,6,3,34,1
Social Media,Consideration,7717.726018881193,0.0306078856988113,2,1,3,14,1
Referral,Consideration,997.5190872257928,0.0579546427823042,16,4,3,14,1
PPC,Conversion,3042.8596143465093,0.2978780561042613,4,5,7,43,1
Email,Consideration,6536.094937308202,0.1279623998375756,5,5,4,44,1
Email,Retention,1453.635176564524,0.2706192959104479,14,1,4,33,1
PPC,Awareness,6808.222286805579,0.0594651134967266,8,1,8,49,1
Social Media,Conversion,684.3644371221876,0.1333546526888464,18,1,9,14,1
SEO,Conversion,3415.8223743003146,0.2885503554397001,5,2,5,17,1
Email,Awareness,8482.440111091939,0.0364283529115969,7,1,3,12,1
PPC,Consideration,7765.483774773485,0.1822554423056258,11,8,6,37,1
SEO,Consideration,6483.1310807481705,0.2765598512019276,15,9,7,7,1
Email,Retention,8717.538324588502,0.2854081781567327,19,4,6,15,1
Referral,Consideration,7121.768487304785,0.2553421683624149,2,8,5,19,1
PPC,Consideration,5241.813541586949,0.2582209853844433,15,7,1,25,1
Referral,Retention,9799.203253819289,0.199133056694065,14,4,4,34,1
Social Media,Consideration,6979.075189914263,0.0739227013475478,10,6,5,16,1
SEO,Awareness,6053.5350504487305,0.2218967779006267,5,1,1,25,1
PPC,Consideration,4147.81855344029,0.2937314946930297,1,9,8,17,1
Email,Awareness,9033.8837359326,0.1625207192551151,6,9,9,43,1
Email,Awareness,3027.5200464894288,0.0856022341323013,15,6,3,6,1
SEO,Awareness,191.27398268793652,0.1763066096518493,0,4,4,43,1
Referral,Consideration,2047.731172080364,0.2102770033097787,12,5,4,34,1
Referral,Consideration,1184.2231702293557,0.0704012897330798,3,8,6,11,1
PPC,Conversion,3258.038364313413,0.2185649108067325,0,7,8,46,1
PPC,Retention,8276.198906838705,0.1803555290764736,4,1,8,48,1
Referral,Retention,6550.143885113574,0.1875814736529351,15,9,5,43,1
PPC,Conversion,1772.907833413754,0.0987364996245518,18,5,8,40,1
